,mw,0.7915242483185391,214,piaffe	0.7907082773487516	85,states	1.0	971
172,r.k.,0.6605151337749298,14.0,,
173,meentemeyer,0.6605151337749298,14.0,,
174,a.d.,0.6605151337749298,14.0,,
175,o.,0.6605151337749298,14.0,,
176,conf.,0.6605151337749298,14.0,,
177,ospar,0.6605151337749298,14.0,,
178,phocoena,0.6605151337749298,14.0,,
179,v_dcbus,0.6605151337749298,14.0,,
180,-h,0.6605151337749298,14.0,,
181,natura,0.6572382108184929,170.0,,
182,systems,0.6569547709872752,13.0,,
183,ridgeville,0.6569547709872752,13.0,,
184,farms,0.6569547709872752,13.0,,
185,criteria,0.6569547709872752,13.0,,
186,empresas,0.6569547709872752,13.0,,
187,l.c.,0.6569547709872752,13.0,,
188,savonius,0.6569547709872752,13.0,,
189,nihl,0.6569547709872752,13.0,,
190,lucas,0.6569547709872752,13.0,,
191,r&d,0.6569547709872752,13.0,,
192,,0.6569547709872752,13.0,,
193,yawed,0.6569547709872752,13.0,,
194,40°,0.6569547709872752,13.0,,
195,learning,0.6554533077886767,63.0,,
196,sands,0.6531092862230605,12.0,,
197,bathymetry,0.6531092862230605,12.0,,
198,standards,0.6531092862230605,12.0,,
199,sciences,0.6531092862230605,12.0,,
200,rms,0.6531092862230605,12.0,,
201,hypothese,0.6531092862230605,12.0,,
202,ref.,0.6531092862230605,12.0,,
203,vdv,0.6531092862230605,12.0,,
204,o&m,0.6531092862230605,12.0,,
205,windpact,0.6531092862230605,12.0,,
206,blades,0.6531092862230605,12.0,,
207,,0.6531092862230605,12.0,,
208,bwea,0.6489290062918561,11.0,,
209,mines,0.6489290062918561,11.0,,
210,públicas,0.6489290062918561,11.0,,
211,guajira,0.6489290062918561,11.0,,
212,wrig,0.6489290062918561,11.0,,
213,sunforce,0.6489290062918561,11.0,,
214,acoustics,0.6489290062918561,11.0,,
215,slotless,0.6489290062918561,11.0,,
216,prof.,0.6489290062918561,11.0,,
217,β,0.6489290062918561,11.0,,
218,svanen,0.6489290062918561,11.0,,
219,aeroelastic,0.6489290062918561,11.0,,
220,r4,0.6489290062918561,11.0,,
221,p=,0.6489290062918561,11.0,,
222,∫,0.6489290062918561,11.0,,
223,tip-loss,0.6489290062918561,11.0,,
224,rüzgar,0.6489290062918561,11.0,,
225,lariteksas,0.6489290062918561,11.0,,
226,klaipeda,0.6489290062918561,11.0,,
227,waye,0.6466940492726029,21.0,,
228,uw,0.6459253462806837,31.0,,
229,musial,0.6443500277069868,10.0,,
230,massachusetts,0.6443500277069868,10.0,,
231,resources,0.6443500277069868,10.0,,
232,licensing,0.6443500277069868,10.0,,
233,wecu,0.6443500277069868,10.0,,
234,guidelines,0.6443500277069868,10.0,,
235,psig,0.6443500277069868,10.0,,
236,µ,0.6443500277069868,10.0,,
237,multibrid,0.6443500277069868,10.0,,
238,csmf,0.6443500277069868,10.0,,
239,p.u,0.6443500277069868,10.0,,
240,θ,0.6443500277069868,10.0,,
241,simms,0.6443500277069868,10.0,,
242,glasfiber,0.6443500277069868,10.0,,
243,k/,0.6443500277069868,10.0,,
244,producing,0.6443500277069868,10.0,,
245,p′,0.6443500277069868,10.0,,
246,,0.6443500277069868,10.0,,
247,-length,0.6443500277069868,10.0,,
248,b=3,0.6443500277069868,10.0,,
249,sub-meter,0.6443500277069868,10.0,,
250,vestibular,0.642388820214947,48.0,,
251,z.,0.6392882017207339,9.0,,
252,nys,0.6392882017207339,9.0,,
253,coordinating,0.6392882017207339,9.0,,
254,medellín,0.6392882017207339,9.0,,
255,hz.,0.6392882017207339,9.0,,
256,seilo,0.6392882017207339,9.0,,
257,-noise,0.6392882017207339,9.0,,
258,trans,0.6392882017207339,9.0,,
259,iet,0.6392882017207339,18.0,,
260,untwisted,0.6392882017207339,9.0,,
261,vvvd,0.6392882017207339,9.0,,
262,ed.,0.6392882017207339,9.0,,
263,p0,0.6392882017207339,9.0,,
264,r.j.,0.6392882017207339,9.0,,
265,a/s,0.6392882017207339,9.0,,
266,evans,0.6392882017207339,9.0,,
267,desholm,0.6392882017207339,9.0,,
268,ecn,0.6392882017207339,27.0,,
269,jan.,0.6392882017207339,9.0,,
270,ames,0.6392882017207339,9.0,,
271,energija,0.6392882017207339,9.0,,
272,svyturys,0.6392882017207339,9.0,,
273,sagrillo,0.6392882017207339,9.0,,
274,raduenz,0.6392882017207339,9.0,,
275,led,0.6392882017207339,9.0,,
276,nacelle,0.6372435139087493,69.0,,
277,castelo,0.6351079217895295,33.0,,
278,uab,0.6351079217895295,33.0,,
279,doc.-no.,0.6336295616988733,8.0,,
280,d-80.1-gp.sd.03-a-a-gb,0.6336295616988733,8.0,,
281,ca,0.6336295616988733,8.0,,
282,m.j.,0.6336295616988733,8.0,,
283,promising,0.6336295616988733,8.0,,
284,ertrag,0.6336295616988733,8.0,,
285,b),0.6336295616988733,8.0,,
286,measurements,0.6336295616988733,8.0,,
287,dec.,0.6336295616988733,8.0,,
288,p.o.,0.6336295616988733,8.0,,
289,a-weighted,0.6336295616988733,8.0,,
290,a-weight,0.6336295616988733,8.0,,
291,shedding,0.6336295616988733,8.0,,
292,gsc,0.6336295616988733,16.0,,
293,bastasch,0.6336295616988733,8.0,,
294,a-weighting,0.6336295616988733,8.0,,
295,n.a.a.,0.6336295616988733,8.0,,
296,y.,0.6336295616988733,8.0,,
297,canwea,0.6336295616988733,8.0,,
298,wyoming,0.6336295616988733,8.0,,
299,seqr,0.6336295616988733,8.0,,
300,the-,0.6336295616988733,8.0,,
301,levelize,0.6336295616988733,8.0,,
302,v3,0.6336295616988733,8.0,,
303,u∞=,0.6336295616988733,8.0,,
304,turbine,0.6272317853744629,2752.0,,
305,mains,0.6272143247484157,7.0,,
306,-out,0.6272143247484157,7.0,,
307,viewshed,0.6272143247484157,7.0,,
308,asme,0.6272143247484157,7.0,,
309,azimut,0.6272143247484157,7.0,,
310,projects,0.6272143247484157,7.0,,
311,spinning,0.6272143247484157,7.0,,
312,non-participating,0.6272143247484157,7.0,,
313,by-case,0.6272143247484157,7.0,,
314,emissions,0.6272143247484157,7.0,,
315,developments,0.6272143247484157,7.0,,
316,efom,0.6272143247484157,7.0,,
317,4a,0.6272143247484157,7.0,,
318,rogers,0.6272143247484157,7.0,,
319,res,0.6272143247484157,7.0,,
320,ωr,0.6272143247484157,7.0,,
321,tubing,0.6272143247484157,7.0,,
322,90°,0.6272143247484157,7.0,,
323,undisturb,0.6272143247484157,7.0,,
324,somatoform,0.6272143247484157,7.0,,
325,kamperman,0.6272143247484157,7.0,,
326,s2,0.6272143247484157,7.0,,
327,siemens,0.6272143247484157,7.0,,
328,hvdc,0.6272143247484157,7.0,,
329,vattenfall,0.6272143247484157,7.0,,
330,lekuona,0.6272143247484157,7.0,,
331,ahlén,0.6272143247484157,7.0,,
332,defra,0.6272143247484157,7.0,,
333,pipistrellus,0.6272143247484157,7.0,,
334,co.,0.6272143247484157,7.0,,
335,epifauna,0.6272143247484157,7.0,,
336,engineers,0.6272143247484157,7.0,,
337,p∞,0.6272143247484157,7.0,,
338,rotating,0.6272143247484157,7.0,,
339,machining,0.6272143247484157,7.0,,
340,ilorin,0.6272143247484157,7.0,,
341,v0,0.6272143247484157,7.0,,
342,glauert,0.6272143247484157,7.0,,
343,chord-length,0.6272143247484157,7.0,,
344,scqf,0.6272143247484157,7.0,,
345,sayed,0.6272143247484157,7.0,,
346,rodeheaver,0.6272143247484157,7.0,,
347,solar-,0.6272143247484157,7.0,,
348,rodman,0.6236539619607611,13.0,,
349,inviscid,0.6236539619607611,13.0,,
350,vad,0.6217696846885863,25.0,,
351,overvoltage,0.6198084771965466,6.0,,
352,6th,0.6198084771965466,6.0,,
353,areas,0.6198084771965466,6.0,,
354,e-,0.6198084771965466,6.0,,
355,-down,0.6198084771965466,6.0,,
356,prevailing,0.6198084771965466,6.0,,
357,pscw,0.6198084771965466,6.0,,
358,wind-energy,0.6198084771965466,6.0,,
359,communities,0.6198084771965466,6.0,,
360,12th,0.6198084771965466,6.0,,
361,uribia,0.6198084771965466,6.0,,
362,functioning,0.6198084771965466,6.0,,
363,combined,0.6198084771965466,6.0,,
364,large-,0.6198084771965466,6.0,,
365,r.w.,0.6198084771965466,6.0,,
366,dec,0.6198084771965466,6.0,,
367,oriented,0.6198084771965466,6.0,,
368,qgrid,0.6198084771965466,6.0,,
369,,0.6198084771965466,6.0,,
370,qref,0.6198084771965466,6.0,,
371,u.,0.6198084771965466,6.0,,
372,determined,0.6198084771965466,6.0,,
373,\*,0.6198084771965466,6.0,,
374,mergeformat,0.6198084771965466,6.0,,
375,electrolyzers,0.6198084771965466,6.0,,
376,hayes,0.6198084771965466,6.0,,
377,m.s.,0.6198084771965466,6.0,,
378,branco.,0.6198084771965466,6.0,,
379,nocebo,0.6198084771965466,6.0,,
380,j.m.,0.6198084771965466,6.0,,
381,babisch,0.6198084771965466,6.0,,
382,søndergaard,0.6198084771965466,6.0,,
383,gamesa,0.6198084771965466,6.0,,
384,chalmers,0.6198084771965466,6.0,,
385,winwind,0.6198084771965466,6.0,,
386,multi-megawatt,0.6198084771965466,6.0,,
387,bdfig,0.6198084771965466,6.0,,
388,1g,0.6198084771965466,6.0,,
389,machines,0.6198084771965466,6.0,,
390,follestad,0.6198084771965466,6.0,,
391,-higgins,0.6198084771965466,6.0,,
392,oprhp,0.6198084771965466,6.0,,
393,i/o,0.6198084771965466,6.0,,
394,cosϕ,0.6198084771965466,6.0,,
395,b-034,0.6198084771965466,6.0,,
396,,0.6198084771965466,6.0,,
397,weibull,0.6198084771965466,6.0,,
398,unclassified,0.6198084771965466,6.0,,
399,k/c,0.6198084771965466,6.0,,
400,outfile,0.6198084771965466,6.0,,
401,concepts,0.6198084771965466,6.0,,
402,schreck,0.6198084771965466,18.0,,
403,,0.6198084771965466,6.0,,
404,rotationally,0.6198084771965466,6.0,,
405,nov.,0.6198084771965466,6.0,,
406,nefco,0.6198084771965466,6.0,,
407,rudaiciai,0.6198084771965466,6.0,,
408,mwhe,0.6198084771965466,6.0,,
409,dainius,0.6198084771965466,6.0,,
410,infrasound,0.6181797479313674,116.0,,
411,starting,0.617763789384562,23.0,,
412,pmsg,0.617763789384562,46.0,,
413,betz,0.6170624205480798,17.0,,
414,osu,0.6156281972653422,11.0,,
415,rw,0.6156281972653422,11.0,,
416,reporting,0.6110492186804728,5.0,,
417,m/s,0.6110492186804728,5.0,,
418,renewables,0.6110492186804728,5.0,,
419,-connect,0.6110492186804728,5.0,,
420,prated,0.6110492186804728,5.0,,
421,±,0.6110492186804728,5.0,,
422,commissioning,0.6110492186804728,5.0,,
423,nw,0.6110492186804728,5.0,,
424,rotordrehzahlen,0.6110492186804728,5.0,,
425,services,0.6110492186804728,5.0,,
426,l90,0.6110492186804728,5.0,,
427,landscaping,0.6110492186804728,5.0,,
428,regulating,0.6110492186804728,5.0,,
429,facilities,0.6110492186804728,5.0,,
430,efdd,0.6110492186804728,5.0,,
431,b.2,0.6110492186804728,5.0,,
432,d.3,0.6110492186804728,5.0,,
433,r.p.m,0.6110492186804728,5.0,,
434,towers,0.6110492186804728,5.0,,
435,e.1,0.6110492186804728,5.0,,
436,tco2e,0.6110492186804728,5.0,,
437,st.,0.6110492186804728,5.0,,
438,barranca,0.6110492186804728,5.0,,
439,flores,0.6110492186804728,5.0,,
440,paipa,0.6110492186804728,5.0,,
441,eere,0.6110492186804728,5.0,,
442,maps,0.6110492186804728,5.0,,
443,manwell,0.6110492186804728,5.0,,
444,archives,0.6110492186804728,5.0,,
445,sø,0.6110492186804728,5.0,,
446,athens,0.6110492186804728,5.0,,
447,pgrid,0.6110492186804728,5.0,,
448,a.l.,0.6110492186804728,5.0,,
449,blaabjerg,0.6110492186804728,5.0,,
450,ewec,0.6110492186804728,5.0,,
451,eng.,0.6110492186804728,5.0,,
452,nm3,0.6110492186804728,5.0,,
453,liter,0.6110492186804728,5.0,,
454,ltd.,0.6110492186804728,5.0,,
455,3kw,0.6110492186804728,5.0,,
456,-frequency,0.6110492186804728,5.0,,
457,g.m.,0.6110492186804728,5.0,,
458,4th,0.6110492186804728,5.0,,
459,onac,0.6110492186804728,5.0,,
460,kalveram,0.6110492186804728,5.0,,
461,bohmeke,0.6110492186804728,5.0,,
462,polinder,0.6110492186804728,5.0,,
463,sørensen,0.6110492186804728,5.0,,
464,mpact,0.6110492186804728,5.0,,
465,by-step,0.6110492186804728,5.0,,
466,teilmann,0.6110492186804728,5.0,,
467,thelander,0.6110492186804728,5.0,,
468,für,0.6110492186804728,5.0,,
469,scis,0.6110492186804728,5.0,,
470,hüppop,0.6110492186804728,5.0,,
471,rodrígues,0.6110492186804728,5.0,,
472,ursúa,0.6110492186804728,5.0,,
473,baerwald,0.6110492186804728,5.0,,
474,derrybrien,0.6110492186804728,5.0,,
475,sites,0.6110492186804728,5.0,,
476,diederichs,0.6110492186804728,5.0,,
477,smøla,0.6110492186804728,5.0,,
478,eurobats,0.6110492186804728,5.0,,
479,r.h.w.,0.6110492186804728,5.0,,
480,20a,0.6110492186804728,5.0,,
481,p2,0.6110492186804728,5.0,,
482,idc2,0.6110492186804728,5.0,,
483,node3,0.6110492186804728,5.0,,
484,lmgh,0.6110492186804728,5.0,,
485,scada,0.6110492186804728,5.0,,
486,pre-concept,0.6110492186804728,5.0,,
487,ti,0.6110492186804728,5.0,,
488,lvrt,0.6110492186804728,5.0,,
489,lewice,0.6110492186804728,5.0,,
490,univ.,0.6110492186804728,5.0,,
491,rebar,0.6110492186804728,5.0,,
492,sizing,0.6110492186804728,5.0,,
493,h-type,0.6110492186804728,5.0,,
494,nwtc,0.6110492186804728,5.0,,
495,cotrell,0.6110492186804728,5.0,,
496,a1,0.6110492186804728,5.0,,
497,winmech,0.6110492186804728,5.0,,
498,-loss,0.6110492186804728,5.0,,
499,h1,0.6110492186804728,5.0,,
500,ri,0.6110492186804728,5.0,,
501,tahsin,0.6110492186804728,5.0,,
502,kahraman,0.6110492186804728,5.0,,
503,albayrak,0.6110492186804728,5.0,,
504,metu,0.6110492186804728,5.0,,
505,e-assessment,0.6110492186804728,5.0,,
506,luttges,0.6110492186804728,5.0,,
507,azim,0.6110492186804728,5.0,,
508,troposkien,0.6110492186804728,5.0,,
509,egy,0.6110492186804728,5.0,,
510,24v,0.6110492186804728,5.0,,
511,ф,0.6110492186804728,5.0,,
512,brushless,0.6059873926942199,9.0,,
513,nordex,0.6059873926942199,9.0,,
514,driving,0.6059873926942199,9.0,,
515,gunfleet,0.6059873926942199,9.0,,
516,urbana,0.6059873926942199,9.0,,
517,hydride,0.6041742374365737,13.0,,
518,wpp,0.60397933691759,82.0,,
519,aluminum,0.6036433711286037,30.0,,
520,cn,0.6010301215088414,69.0,,
521,free-stream,0.6003287526723592,8.0,,
522,acoustical,0.5988034527518429,31.0,,
523,pericardial,0.5961484727411548,11.0,,
524,handling,0.5939135157219015,7.0,,
525,bircher,0.5939135157219015,7.0,,
526,christiano,0.5939135157219015,7.0,,
527,feeding,0.5921663081918931,27.0,,
528,pll,0.5915694941562856,10.0,,
529,actuator,0.5906879481012369,36.0,,
530,lipscomb,0.5903531529342471,13.0,,
531,hydropower,0.5865076681700324,9.0,,
532,wayuu,0.5865076681700324,6.0,,
533,llc,0.5865076681700324,9.0,,
534,mva,0.5865076681700324,6.0,,
535,arklow,0.5865076681700324,18.0,,
536,inverter,0.5846945129123865,52.0,,
537,thyristor,0.583193049713788,14.0,,
538,windpower,0.583193049713788,14.0,,
539,eu,0.582327388238828,121.0,,
540,scoping,0.582327388238828,22.0,,
541,plott,0.580849028148172,8.0,,
542,jumping,0.580849028148172,8.0,,
543,selig,0.580849028148172,8.0,,
544,equ,0.5777484096539587,5.0,,
545,in-class,0.5777484096539587,10.0,,
546,sandia,0.5777484096539587,10.0,,
547,rdr,0.5777484096539587,5.0,,
548,iec,0.5770035433839574,32.0,,
549,persson,0.5766687482169675,22.0,,
550,fd,0.5757872021619189,12.0,,
551,universiteit,0.5744337911977143,7.0,,
552,altamont,0.5734431805963028,16.0,,
553,osha,0.5726865836677058,9.0,,
554,neg,0.5726865836677058,27.0,,
555,ctr,0.5726865836677058,9.0,,
556,modeling,0.5716069222307145,22.0,,
557,thickening,0.5716069222307145,11.0,,
558,tsr,0.5713984927843183,92.0,,
559,tel,0.5670279436458452,8.0,,
560,peer-reviewed,0.5670279436458452,6.0,,
561,cochlea,0.5670279436458452,14.0,,
562,parameterize,0.5670279436458452,6.0,,
563,modulo,0.5670279436458452,8.0,,
564,hpa,0.5628476637146408,11.0,,
565,sadock,0.5628476637146408,11.0,,
566,bernoulli,0.5619661176595923,9.0,,
567,langston,0.5615833035860158,25.0,,
568,audiology,0.5606127066953875,14.0,,
569,tio,0.5601529624019461,26.0,,
570,aerodynamic,0.559192615759285,175.0,,
571,creg,0.5582686851297715,5.0,,
572,substation,0.5568760394455093,34.0,,
573,dba,0.5563074776377317,48.0,,
574,pedersen,0.5560845402908657,43.0,,
575,gd,0.5554418161627718,11.0,,
576,rotor,0.5535165420396772,856.0,,
577,calif,0.5532068591435185,6.0,,
578,solano,0.5532068591435185,9.0,,
579,berglund,0.5532068591435185,6.0,,
580,otolaryngology,0.5532068591435185,6.0,,
581,energia,0.5532068591435185,9.0,,
582,kv,0.5525619781583884,37.0,,
583,ji,0.5525054903070363,34.0,,
584,mesoscale,0.549892240687274,7.0,,
585,flyway,0.549892240687274,7.0,,
586,maki,0.549892240687274,7.0,,
587,hy,0.5495094266136976,25.0,,
588,drewitt,0.5486278805586491,15.0,,
589,aerodynamics,0.54824958795814,69.0,,
590,branco,0.5475482191216579,28.0,,
591,rma,0.5475482191216579,8.0,,
592,hz,0.5457350638640118,104.0,,
593,gearless,0.5444476006274447,5.0,,
594,mma,0.5444476006274447,5.0,,
595,pem,0.5444476006274447,10.0,,
596,vsw,0.5444476006274447,5.0,,
597,eru,0.5444476006274447,5.0,,
598,doa,0.5444476006274447,5.0,,
599,bly,0.5424863931354049,6.0,,
600,jakobsen,0.5424863931354049,6.0,,
601,oj,0.5424863931354049,6.0,,
602,vorticity,0.5424863931354049,12.0,,
603,thomsen,0.5411329821712002,7.0,,
604,aep,0.5411329821712002,7.0,,
605,twh,0.5383061132042005,11.0,,
606,cfd,0.5368277531135444,16.0,,
607,eia,0.5352770403852203,63.0,,
608,pre-construction,0.5337271346193311,10.0,,
609,grounding,0.5337271346193311,5.0,,
610,rensen,0.5337271346193311,5.0,,
611,yamada,0.5337271346193311,5.0,,
612,electrotechnical,0.5337271346193311,7.0,,
613,milvus,0.5337271346193311,7.0,,
614,gto,0.5337271346193311,8.0,,
615,vrije,0.5337271346193311,5.0,,
616,elektra,0.5337271346193311,20.0,,
617,kw,0.5332883835147928,109.0,,
618,flywheel,0.5319799270893226,54.0,,
619,blade,0.5315498648394011,1553.0,,
620,windfarm,0.5314921776000779,21.0,,
621,mitigation,0.5304766161219487,100.0,,
622,colby,0.5298816498551167,12.0,,
623,marsland,0.5298816498551167,12.0,,
624,yaw,0.5294853006604365,65.0,,
625,infrasonic,0.5273118976688735,7.0,,
626,vibratory,0.526321287067462,6.0,,
627,planform,0.5249678761032575,5.0,,
628,dalhousie,0.5240863300482088,9.0,,
629,favorable,0.5230066686112176,8.0,,
630,takahashi,0.5230066686112176,8.0,,
631,slipstream,0.5226521067654711,27.0,,
632,annular,0.5223703293475146,15.0,,
633,cdm,0.521653257647013,35.0,,
634,bourgogne,0.5211223913390428,10.0,,
635,generator,0.5210502400479282,563.0,,
636,loading,0.5206626470456014,32.0,,
637,anthropogenic,0.5205423893807074,19.0,,
638,thinkable,0.5199060501170043,6.0,,
639,iee,0.5199060501170043,6.0,,
640,rotational,0.5190007733071932,92.0,,
641,ies,0.5188263886800131,11.0,,
642,ieee,0.5177704579977845,33.0,,
643,geologic,0.5175620285513883,5.0,,
644,stator,0.515843666961628,51.0,,
645,avian,0.5158227286688406,31.0,,
646,bem,0.5152588771813804,32.0,,
647,vortex,0.5145291875131004,114.0,,
648,axial,0.5140755211388321,93.0,,
649,licensee,0.5133894781531488,74.0,,
650,righter,0.5120124530758906,7.0,,
651,synchronous,0.511808159733155,64.0,,
652,anemometer,0.5111467916009307,15.0,,
653,madsen,0.5111467916009307,10.0,,
654,biogeographical,0.5104019253309293,8.0,,
655,navarra,0.5091855841088908,6.0,,
656,rime,0.5082999754000798,43.0,,
657,neighbor,0.5080682567256033,17.0,,
658,pierpont,0.5078321731446862,21.0,,
659,erie,0.5078321731446862,7.0,,
660,prandtl,0.5068415625432747,8.0,,
661,centerline,0.5060849656146776,9.0,,
